,ID,Type,Short Name,Latex Name,Description,Distribution,Distribution parameters,Units
0,fp_Poff_DL_LCKA2,Free parameter,Poff,$$Poff^{LCKA}$$,Decay probability,Normal,"{'mu': '-3.0', 'sd': '1.0'}",$$-$$
1,fp_Diff_DL_LCKA2,Free parameter,Diff,$$Diff^{LCKA}$$,Diffusion constant,Normal,"{'mu': '-2.0', 'sd': '1.0'}",$$\mum^2/sec$$
2,rv_intercept_DL_LCKA2,Random variable,intercept,$$DL^{LCKA}_{intercept}$$,Interception with z axis,Normal,"{'mu': '1.9722760958473209', 'sd': '0.0800555322422954'}",$$nm$$
3,rv_PoffSlope_DL_LCKA2,Random variable,PoffSlope,$$Poff^{LCKA}_{PoffSlope}$$,Slope in Poff direction,Normal,"{'mu': '-0.27961490544985984', 'sd': '0.01644870578838481'}",$$-$$
4,rv_DiffSlope_DL_LCKA2,Random variable,DiffSlope,$$Diff^{LCKA}_{DiffSlope}$$,Slope in Diff direction,Normal,"{'mu': '0.4220327365720979', 'sd': '0.03289741153551501'}",$$\mum^2/sec$$
5,rv_output_DL_LCKA2,Random variable,output,$$Diff^{LCKA}_{output}$$,Decay length output,Normal,"{'mu': '500.0', 'sd': '100.0'}",$$nm$$
