1.83,1.84,1.83,1.81,1.77,1.64,1.46,1.15,0.94,0.68
1.90,1.91,1.87,1.89,1.86,1.72,1.47,1.28,1.03,0.82
2.01,2.01,2.01,2.00,1.92,1.76,1.58,1.41,1.24,0.93
2.10,2.11,2.12,2.08,2.00,1.91,1.72,1.44,1.27,1.02
2.23,2.25,2.14,2.18,2.11,2.00,1.83,1.55,1.34,1.14
2.33,2.32,2.35,2.34,2.30,2.09,1.83,1.71,1.45,1.22
2.44,2.50,2.44,2.33,2.51,2.31,1.95,1.70,1.54,1.11
2.61,2.61,2.60,2.61,2.45,2.30,2.21,1.97,1.74,1.53
2.79,2.76,2.87,2.58,2.67,2.54,2.05,2.13,1.75,1.62
2.88,3.13,3.17,2.88,2.71,2.66,2.18,2.13,1.78,0.19
3.21,3.56,3.73,3.77,3.07,2.69,2.58,2.27,1.41,1.85
3.28,3.30,3.78,3.95,3.17,3.80,2.83,2.38,2.31,2.25
4.15,3.31,3.21,3.02,4.21,3.66,3.49,2.27,1.96,1.76
