,Decaylength_nm,Depletion_nm,PhosRatio
203,40.0,100.0,0.0
204,50.0,100.0,0.0020491999999999997
205,60.0,100.0,0.026971
206,70.0,100.0,0.061311000000000004
207,80.0,100.0,0.081481
208,90.0,100.0,0.13552999999999998
209,100.0,100.0,0.22178
210,110.0,100.0,0.1917
211,120.0,100.0,0.24288
212,130.0,100.0,0.39718000000000003
213,140.0,100.0,0.42658999999999997
214,150.0,100.0,0.47136999999999996
215,160.0,100.0,0.5605100000000001
216,170.0,100.0,0.5767
217,180.0,100.0,0.6308
218,190.0,100.0,0.66937
219,200.0,100.0,0.65517
220,10.0,110.0,0.0
221,20.0,110.0,0.0
222,30.0,110.0,0.0
223,40.0,110.0,0.0
224,50.0,110.0,0.004158
225,60.0,110.0,0.0038986
226,70.0,110.0,0.01711
227,80.0,110.0,0.045817000000000004
228,90.0,110.0,0.086614
229,100.0,110.0,0.19612000000000002
230,110.0,110.0,0.19763
231,120.0,110.0,0.25296
232,130.0,110.0,0.32252
233,140.0,110.0,0.35404
234,150.0,110.0,0.49903000000000003
235,160.0,110.0,0.51502
236,170.0,110.0,0.63136
237,180.0,110.0,0.5826899999999999
238,190.0,110.0,0.6729
239,200.0,110.0,0.6412399999999999
240,10.0,120.0,0.0
241,20.0,120.0,0.0
242,30.0,120.0,0.0
243,40.0,120.0,0.0
244,50.0,120.0,0.0
245,60.0,120.0,0.0035842
246,70.0,120.0,0.0059172
247,80.0,120.0,0.027933
248,90.0,120.0,0.07172100000000001
249,100.0,120.0,0.16901
250,110.0,120.0,0.21673
251,120.0,120.0,0.29921
252,130.0,120.0,0.27255
253,140.0,120.0,0.41408
254,150.0,120.0,0.45566999999999996
255,160.0,120.0,0.46466999999999997
256,170.0,120.0,0.5456300000000001
257,180.0,120.0,0.6075699999999999
258,190.0,120.0,0.6791699999999999
259,200.0,120.0,0.66478
260,10.0,130.0,0.0
261,20.0,130.0,0.0
262,30.0,130.0,0.0
263,40.0,130.0,0.0
264,50.0,130.0,0.0
265,60.0,130.0,0.0
266,70.0,130.0,0.0039369999999999995
267,80.0,130.0,0.017682
268,90.0,130.0,0.084746
269,100.0,130.0,0.098672
270,110.0,130.0,0.17165999999999998
271,120.0,130.0,0.24059
272,130.0,130.0,0.33333
273,140.0,130.0,0.34068000000000004
274,150.0,130.0,0.41188
275,160.0,130.0,0.45983999999999997
276,170.0,130.0,0.50573
277,180.0,130.0,0.62325
278,190.0,130.0,0.60264
279,200.0,130.0,0.6163
280,10.0,140.0,0.0
281,20.0,140.0,0.0
282,30.0,140.0,0.0
283,40.0,140.0,0.0
284,50.0,140.0,0.0
285,60.0,140.0,0.0019646
286,70.0,140.0,0.0019048
287,80.0,140.0,0.006097600000000001
288,90.0,140.0,0.061475
289,100.0,140.0,0.087719
290,110.0,140.0,0.15631
291,120.0,140.0,0.19112
292,130.0,140.0,0.26489
293,140.0,140.0,0.34426
294,150.0,140.0,0.35925999999999997
295,160.0,140.0,0.5010399999999999
296,170.0,140.0,0.49375
297,180.0,140.0,0.60542
298,190.0,140.0,0.59623
299,200.0,140.0,0.6558
300,10.0,150.0,0.0
301,20.0,150.0,0.0
302,30.0,150.0,0.0
303,40.0,150.0,0.0
304,50.0,150.0,0.0
305,60.0,150.0,0.0
306,70.0,150.0,0.004
307,80.0,150.0,0.0375
308,90.0,150.0,0.022869
309,100.0,150.0,0.09765599999999999
310,110.0,150.0,0.13525
311,120.0,150.0,0.15052000000000001
312,130.0,150.0,0.22934000000000002
313,140.0,150.0,0.27944
314,150.0,150.0,0.35669
315,160.0,150.0,0.48733000000000004
316,170.0,150.0,0.5273399999999999
317,180.0,150.0,0.54618
318,190.0,150.0,0.5935699999999999
319,200.0,150.0,0.60852
320,10.0,160.0,0.0
321,20.0,160.0,0.0
322,30.0,160.0,0.0
323,40.0,160.0,0.0
324,50.0,160.0,0.0
325,60.0,160.0,0.0
326,70.0,160.0,0.0
327,80.0,160.0,0.014787
328,90.0,160.0,0.054108
329,100.0,160.0,0.05374299999999999
330,110.0,160.0,0.098814
331,120.0,160.0,0.16109
332,130.0,160.0,0.21881
333,140.0,160.0,0.26168
334,150.0,160.0,0.38986
335,160.0,160.0,0.51235
336,170.0,160.0,0.5179699999999999
337,180.0,160.0,0.49393000000000004
338,190.0,160.0,0.63017
339,200.0,160.0,0.60288
340,10.0,170.0,0.0
341,20.0,170.0,0.0
342,30.0,170.0,0.0
343,40.0,170.0,0.0
344,50.0,170.0,0.0
345,60.0,170.0,0.0
346,70.0,170.0,0.0020120999999999997
347,80.0,170.0,0.0057692
348,90.0,170.0,0.036538
349,100.0,170.0,0.054581
350,110.0,170.0,0.096712
351,120.0,170.0,0.21402
352,130.0,170.0,0.19460999999999998
353,140.0,170.0,0.30285
354,150.0,170.0,0.3215
355,160.0,170.0,0.37037
356,170.0,170.0,0.46813
357,180.0,170.0,0.54545
358,190.0,170.0,0.58594
359,200.0,170.0,0.52896
360,10.0,180.0,0.0
361,20.0,180.0,0.0
362,30.0,180.0,0.0
363,40.0,180.0,0.0
364,50.0,180.0,0.0
365,60.0,180.0,0.0
366,70.0,180.0,0.0
367,80.0,180.0,0.0020619
368,90.0,180.0,0.037975
369,100.0,180.0,0.045082
370,110.0,180.0,0.07142899999999999
371,120.0,180.0,0.07551000000000001
372,130.0,180.0,0.15205
373,140.0,180.0,0.29638000000000003
374,150.0,180.0,0.28543
375,160.0,180.0,0.36082
376,170.0,180.0,0.47544
377,180.0,180.0,0.5149699999999999
378,190.0,180.0,0.56855
379,200.0,180.0,0.61024
380,10.0,190.0,0.0
381,20.0,190.0,0.0
382,30.0,190.0,0.0
383,40.0,190.0,0.0
384,50.0,190.0,0.0
385,60.0,190.0,0.0
386,70.0,190.0,0.0
387,80.0,190.0,0.0020619
388,90.0,190.0,0.011788
389,100.0,190.0,0.020747
390,110.0,190.0,0.056451999999999995
391,120.0,190.0,0.11110999999999999
392,130.0,190.0,0.1498
393,140.0,190.0,0.19124000000000002
394,150.0,190.0,0.30485
395,160.0,190.0,0.342
396,170.0,190.0,0.43061000000000005
397,180.0,190.0,0.47418999999999994
398,190.0,190.0,0.52273
399,200.0,190.0,0.53747
400,10.0,200.0,0.0
401,20.0,200.0,0.0
402,30.0,200.0,0.0
403,40.0,200.0,0.0
404,50.0,200.0,0.0
405,60.0,200.0,0.0
406,70.0,200.0,0.0
407,80.0,200.0,0.0
408,90.0,200.0,0.005940600000000001
409,100.0,200.0,0.0039683
410,110.0,200.0,0.054766999999999996
411,120.0,200.0,0.10400000000000001
412,130.0,200.0,0.15542999999999998
413,140.0,200.0,0.23214
414,150.0,200.0,0.29508
415,160.0,200.0,0.39876
416,170.0,200.0,0.41129
417,180.0,200.0,0.53425
418,190.0,200.0,0.56107
419,200.0,200.0,0.5393899999999999
